Model,Variable,Coefficient,Std_Error,P_value,Significant
Model 1 Baseline,Intercept,34.49327886300418,5.109547957792336,1.470832455962794e-11,True
Model 1 Baseline,log_youtube_engagement,0.6689601732412335,0.5899375189247558,0.2568151496145149,False
Model 1 Baseline,barrier_index,-3.647547293656217,1.4132515150368268,0.009852566105021792,True
Model 1 Baseline,camping_dummy,-1.115523683838936,3.92214340024165,0.7760909450598436,False
Model 1 Baseline,covid_period,2.929221188098049,2.2462195299899883,0.19221067486500787,False
Model 2 Moderation,Intercept,36.42113237556823,4.897531678562457,1.0328610054254182e-13,True
Model 2 Moderation,log_youtube_engagement,1.8343894674482892,1.134858445150661,0.10600704412843667,False
Model 2 Moderation,barrier_index,-4.250102007525594,1.2741382382166588,0.0008509475464755574,True
Model 2 Moderation,log_youtube_x_barrier,-0.431703017198555,0.35066399969526424,0.2182848606915756,False
Model 2 Moderation,camping_dummy,-4.592462247697482,4.6578991460896235,0.32415695554032886,False
Model 2 Moderation,covid_period,2.4876946306033965,2.2483238989182723,0.2685247416540275,False
Model 3 Behavioral,Intercept,41.585885960467635,5.287991129352641,3.7142656459867115e-15,True
Model 3 Behavioral,log_youtube_engagement,1.983109156704029,0.9725721538927274,0.04144648377264957,True
Model 3 Behavioral,barrier_index,-5.180392081540623,1.1025108993418955,2.6179467581802647e-06,True
Model 3 Behavioral,log_youtube_x_barrier,-0.31335317272539787,0.2396036148417246,0.19094176983583677,False
Model 3 Behavioral,camping_dummy,0.4609704201941015,4.543057938567253,0.9191797594422328,False
Model 3 Behavioral,covid_period,-1.9940961957685275,1.9773701380554605,0.3132342863640678,False
Model 4 No Camping,Intercept,37.491680265840536,4.81806397099345,7.167957184764778e-15,True
Model 4 No Camping,log_youtube_engagement,2.6457902029625364,1.2154935988447744,0.02950140515138199,True
Model 4 No Camping,barrier_index,-4.489769488799672,1.209551878002617,0.00020568649920525174,True
Model 4 No Camping,log_youtube_x_barrier,-0.6310109353263736,0.3321906229841163,0.05749289601430905,False
Model 4 No Camping,covid_period,2.2321948150664284,2.3046095056313085,0.33275562210556386,False
Model 5 COVID,Intercept,36.46964961394629,4.907769650441731,1.0777749684859386e-13,True
Model 5 COVID,log_youtube_engagement,1.8628293659517143,1.1351985212281754,0.10080315845132025,False
Model 5 COVID,barrier_index,-4.253931355319678,1.2770871539358202,0.0008654578911728246,True
Model 5 COVID,log_youtube_x_barrier,-0.4325383511855058,0.3503377293958826,0.21696730296861777,False
Model 5 COVID,covid_period,2.465204442255832,2.2326683643058223,0.2695273623735184,False
Model 5 COVID,log_youtube_x_covid,-0.11258608192753239,0.5863276778360758,0.8477272856964391,False
Model 5 COVID,camping_dummy,-4.569776085430125,4.662273008875925,0.3270068734310062,False
Model 6 Log-Log,Intercept,3.525349092011842,0.3074607505887447,1.954580187049887e-30,True
Model 6 Log-Log,log_youtube_engagement,0.10249748352768911,0.05941168747720931,0.08449010062148697,False
Model 6 Log-Log,barrier_index,-0.210703696514571,0.06814006136752954,0.0019866913042851427,True
Model 6 Log-Log,log_youtube_x_barrier,-0.024864452182818284,0.020528388359585058,0.22581002387791604,False
Model 6 Log-Log,camping_dummy,-0.1808319763525556,0.20035832623528763,0.36676856552751236,False
Model 6 Log-Log,covid_period,0.12157112096081968,0.1610231280854583,0.45025397818703483,False
