sport,equipment_cost_usd,training_hours,geo_access_pct,injury_per_10k,participants_millions,cost_score,training_score,geo_score,safety_score,barrier_index,barrier_category
Hiking,225,0,90,50,63.4,1.1,1.0,1.5,1.1,1.16,Low (1-3)
Trail Running,140,0,95,448,15.1,1.0,1.0,1.0,1.8,1.2,Low (1-3)
Camping,561,0,90,30,21.9,1.4,1.0,1.5,1.0,1.23,Low (1-3)
Mountain Biking,600,2,65,500,9.0,1.5,1.1,3.9,1.9,2.07,Low (1-3)
Rock Climbing,420,6,50,25,11.5,1.3,1.3,5.3,1.0,2.22,Low (1-3)
Snowboarding,880,12,35,12,6.0,1.7,1.5,6.7,1.0,2.75,Low (1-3)
Surfing,420,8,25,74,4.0,1.3,1.4,7.7,1.1,2.86,Low (1-3)
Wingfoiling,1599,12,8,800,0.05,2.4,1.5,9.3,2.4,3.93,Medium (3-6)
Paragliding,4100,8,12,1215,1.2,4.9,1.4,8.9,3.2,4.6,Medium (3-6)
Hang Gliding,4625,8,12,1200,0.02,5.4,1.4,8.9,3.1,4.72,Medium (3-6)
Skydiving,9250,25,40,250,0.4,10.0,2.1,6.3,1.4,4.96,Medium (3-6)
Kitesurfing,1249,15,8,3775,1.5,2.1,1.7,9.3,7.8,5.22,Medium (3-6)
BASE Jumping,4100,200,1,5000,0.002,4.9,10.0,10.0,10.0,8.73,High (6-10)
