search_term,month,search_index
buy kite,2015-01,33
buy kite,2015-02,47
buy kite,2015-03,80
buy kite,2015-04,67
buy kite,2015-05,71
buy kite,2015-06,62
buy kite,2015-07,49
buy kite,2015-08,50
buy kite,2015-09,40
buy kite,2015-10,23
buy kite,2015-11,49
buy kite,2015-12,27
buy kite,2016-01,28
buy kite,2016-02,44
buy kite,2016-03,80
buy kite,2016-04,74
buy kite,2016-05,64
buy kite,2016-06,41
buy kite,2016-07,52
buy kite,2016-08,47
buy kite,2016-09,39
buy kite,2016-10,100
buy kite,2016-11,43
buy kite,2016-12,37
buy kite,2017-01,54
buy kite,2017-02,53
buy kite,2017-03,73
buy kite,2017-04,85
buy kite,2017-05,67
buy kite,2017-06,70
buy kite,2017-07,59
buy kite,2017-08,57
buy kite,2017-09,49
buy kite,2017-10,46
buy kite,2017-11,35
buy kite,2017-12,36
buy kite,2018-01,36
buy kite,2018-02,44
buy kite,2018-03,73
buy kite,2018-04,68
buy kite,2018-05,61
buy kite,2018-06,51
buy kite,2018-07,58
buy kite,2018-08,41
buy kite,2018-09,50
buy kite,2018-10,29
buy kite,2018-11,39
buy kite,2018-12,38
buy kite,2019-01,44
buy kite,2019-02,46
buy kite,2019-03,65
buy kite,2019-04,69
buy kite,2019-05,50
buy kite,2019-06,45
buy kite,2019-07,40
buy kite,2019-08,37
buy kite,2019-09,33
buy kite,2019-10,36
buy kite,2019-11,33
buy kite,2019-12,28
buy kite,2020-01,37
buy kite,2020-02,44
buy kite,2020-03,48
buy kite,2020-04,60
buy kite,2020-05,58
buy kite,2020-06,60
buy kite,2020-07,59
buy kite,2020-08,63
buy kite,2020-09,55
buy kite,2020-10,47
buy kite,2020-11,42
buy kite,2020-12,30
buy kite,2021-01,42
buy kite,2021-02,49
buy kite,2021-03,70
buy kite,2021-04,73
buy kite,2021-05,60
buy kite,2021-06,47
buy kite,2021-07,39
buy kite,2021-08,43
buy kite,2021-09,39
buy kite,2021-10,43
buy kite,2021-11,25
buy kite,2021-12,36
buy kite,2022-01,38
buy kite,2022-02,60
buy kite,2022-03,68
buy kite,2022-04,72
buy kite,2022-05,54
buy kite,2022-06,54
buy kite,2022-07,44
buy kite,2022-08,42
buy kite,2022-09,43
buy kite,2022-10,35
buy kite,2022-11,32
buy kite,2022-12,32
buy kite,2023-01,44
buy kite,2023-02,49
buy kite,2023-03,53
buy kite,2023-04,55
buy kite,2023-05,51
buy kite,2023-06,39
buy kite,2023-07,50
buy kite,2023-08,39
buy kite,2023-09,39
buy kite,2023-10,43
buy kite,2023-11,28
buy kite,2023-12,38
buy kite,2024-01,39
buy kite,2024-02,50
buy kite,2024-03,69
buy kite,2024-04,64
buy kite,2024-05,53
buy kite,2024-06,43
buy kite,2024-07,44
buy kite,2024-08,50
buy kite,2024-09,43
buy kite,2024-10,39
buy kite,2024-11,33
buy kite,2024-12,39
kiteboarding equipment,2015-01,0
kiteboarding equipment,2015-02,0
kiteboarding equipment,2015-03,0
kiteboarding equipment,2015-04,0
kiteboarding equipment,2015-05,0
kiteboarding equipment,2015-06,100
kiteboarding equipment,2015-07,0
