sport,equipment_cost,training_hours,access_pct,injury_rate,cost_score,training_score,access_score,safety_score,barrier_index,barrier_category
Slacklining,80.0,0,98.0,200.0,1.0,1.0,1.17,1.2,1.09,Very Low
Hiking,350.0,0,98.0,280.0,1.26,1.0,1.17,1.28,1.18,Very Low
Camping,450.0,0,95.0,37.0,1.36,1.0,1.44,1.03,1.21,Very Low
Skateboarding,200.0,0,95.0,530.0,1.12,1.0,1.44,1.53,1.27,Very Low
Kayaking,660.0,3,85.0,190.0,1.57,1.14,2.34,1.19,1.56,Very Low
SUP,500.0,2,85.0,400.0,1.41,1.09,2.34,1.4,1.56,Very Low
Mountain Biking,1050.0,6,92.0,1000.0,1.95,1.27,1.71,2.0,1.73,Very Low
Road Cycling,1250.0,0,99.0,2000.0,2.15,1.0,1.08,3.0,1.81,Very Low
Bouldering,360.0,1,95.0,4000.0,1.27,1.04,1.44,5.0,2.19,Very Low
Running,220.0,0,99.9,5000.0,1.14,1.0,1.0,6.0,2.28,Very Low
Rock Climbing,680.0,16,95.0,4000.0,1.59,1.72,1.44,5.0,2.44,Very Low
Scuba Diving,1750.0,30,70.0,150.0,2.64,2.35,3.7,1.15,2.46,Very Low
Trail Running,280.0,0,95.0,6000.0,1.2,1.0,1.44,7.0,2.66,Low
Surfing,580.0,3,30.0,180.0,1.49,1.14,7.3,1.18,2.78,Low
Wingfoiling,2690.0,10,60.0,570.0,3.56,1.45,4.6,1.57,2.79,Low
Spearfishing,720.0,20,35.0,200.0,1.63,1.9,6.85,1.2,2.89,Low
Snowboarding,870.0,12,25.0,350.0,1.78,1.54,7.75,1.35,3.1,Low
Alpine Skiing,1020.0,12,25.0,250.0,1.92,1.54,7.75,1.25,3.12,Low
Kitesurfing,2450.0,15,35.0,1050.0,3.33,1.67,6.85,2.05,3.47,Low
Road Racing,2200.0,0,88.0,9000.0,3.08,1.0,2.07,10.0,4.04,Medium
Backcountry Skiing,2300.0,24,10.0,800.0,3.18,2.08,9.11,1.8,4.04,Medium
Ice Climbing,1510.0,16,5.0,1500.0,2.4,1.72,9.56,2.5,4.04,Medium
Skydiving,9250.0,40,75.0,5.0,10.0,2.8,3.25,1.0,4.26,Medium
Paragliding,5650.0,80,15.0,200.0,6.47,4.6,8.66,1.2,5.23,Medium
Hang Gliding,6150.0,80,10.0,150.0,6.96,4.6,9.11,1.15,5.45,Medium
BASE Jumping,3600.0,200,0.1,4000.0,4.45,10.0,10.0,5.0,7.36,Very High
