sport,keyword,date,index
Running,buy running shoes,2015-01-01,66
Running,buy running shoes,2015-02-01,71
Running,buy running shoes,2015-03-01,92
Running,buy running shoes,2015-04-01,92
Running,buy running shoes,2015-05-01,76
Running,buy running shoes,2015-06-01,78
Running,buy running shoes,2015-07-01,89
Running,buy running shoes,2015-08-01,91
Running,buy running shoes,2015-09-01,79
Running,buy running shoes,2015-10-01,55
Running,buy running shoes,2015-11-01,75
Running,buy running shoes,2015-12-01,67
Running,buy running shoes,2016-01-01,72
Running,buy running shoes,2016-02-01,68
Running,buy running shoes,2016-03-01,86
Running,buy running shoes,2016-04-01,76
Running,buy running shoes,2016-05-01,79
Running,buy running shoes,2016-06-01,78
Running,buy running shoes,2016-07-01,79
Running,buy running shoes,2016-08-01,85
Running,buy running shoes,2016-09-01,75
Running,buy running shoes,2016-10-01,72
Running,buy running shoes,2016-11-01,74
Running,buy running shoes,2016-12-01,67
Running,buy running shoes,2017-01-01,74
Running,buy running shoes,2017-02-01,83
Running,buy running shoes,2017-03-01,85
Running,buy running shoes,2017-04-01,86
Running,buy running shoes,2017-05-01,74
Running,buy running shoes,2017-06-01,85
Running,buy running shoes,2017-07-01,90
Running,buy running shoes,2017-08-01,92
Running,buy running shoes,2017-09-01,78
Running,buy running shoes,2017-10-01,67
Running,buy running shoes,2017-11-01,73
Running,buy running shoes,2017-12-01,63
Running,buy running shoes,2018-01-01,63
Running,buy running shoes,2018-02-01,80
Running,buy running shoes,2018-03-01,83
Running,buy running shoes,2018-04-01,82
Running,buy running shoes,2018-05-01,73
Running,buy running shoes,2018-06-01,79
Running,buy running shoes,2018-07-01,91
Running,buy running shoes,2018-08-01,87
Running,buy running shoes,2018-09-01,77
Running,buy running shoes,2018-10-01,62
Running,buy running shoes,2018-11-01,64
Running,buy running shoes,2018-12-01,61
Running,buy running shoes,2019-01-01,70
Running,buy running shoes,2019-02-01,69
Running,buy running shoes,2019-03-01,82
Running,buy running shoes,2019-04-01,77
Running,buy running shoes,2019-05-01,75
Running,buy running shoes,2019-06-01,79
Running,buy running shoes,2019-07-01,82
Running,buy running shoes,2019-08-01,92
Running,buy running shoes,2019-09-01,79
Running,buy running shoes,2019-10-01,64
Running,buy running shoes,2019-11-01,62
Running,buy running shoes,2019-12-01,68
Running,buy running shoes,2020-01-01,72
Running,buy running shoes,2020-02-01,72
Running,buy running shoes,2020-03-01,64
Running,buy running shoes,2020-04-01,77
Running,buy running shoes,2020-05-01,91
Running,buy running shoes,2020-06-01,91
Running,buy running shoes,2020-07-01,90
Running,buy running shoes,2020-08-01,90
Running,buy running shoes,2020-09-01,89
Running,buy running shoes,2020-10-01,78
Running,buy running shoes,2020-11-01,75
Running,buy running shoes,2020-12-01,77
Running,buy running shoes,2021-01-01,81
Running,buy running shoes,2021-02-01,81
Running,buy running shoes,2021-03-01,98
Running,buy running shoes,2021-04-01,100
Running,buy running shoes,2021-05-01,92
Running,buy running shoes,2021-06-01,93
Running,buy running shoes,2021-07-01,92
Running,buy running shoes,2021-08-01,88
Running,buy running shoes,2021-09-01,100
Running,buy running shoes,2021-10-01,81
Running,buy running shoes,2021-11-01,91
Running,buy running shoes,2021-12-01,94
Running,buy running shoes,2022-01-01,76
Running,buy running shoes,2022-02-01,83
Running,buy running shoes,2022-03-01,87
Running,buy running shoes,2022-04-01,88
Running,buy running shoes,2022-05-01,80
Running,buy running shoes,2022-06-01,75
Running,buy running shoes,2022-07-01,89
Running,buy running shoes,2022-08-01,89
Running,buy running shoes,2022-09-01,80
Running,buy running shoes,2022-10-01,71
Running,buy running shoes,2022-11-01,76
Running,buy running shoes,2022-12-01,70
Running,buy running shoes,2023-01-01,72
Running,buy running shoes,2023-02-01,77
Running,buy running shoes,2023-03-01,82
Running,buy running shoes,2023-04-01,84
Running,buy running shoes,2023-05-01,79
Running,buy running shoes,2023-06-01,75
Running,buy running shoes,2023-07-01,81
Running,buy running shoes,2023-08-01,77
Running,buy running shoes,2023-09-01,74
Running,buy running shoes,2023-10-01,67
Running,buy running shoes,2023-11-01,75
Running,buy running shoes,2023-12-01,74
Running,buy running shoes,2024-01-01,67
Running,buy running shoes,2024-02-01,85
Running,buy running shoes,2024-03-01,90
Running,buy running shoes,2024-04-01,79
Running,buy running shoes,2024-05-01,84
Running,buy running shoes,2024-06-01,77
Running,buy running shoes,2024-07-01,79
Running,buy running shoes,2024-08-01,85
Running,buy running shoes,2024-09-01,76
Running,buy running shoes,2024-10-01,65
Running,buy running shoes,2024-11-01,79
Running,buy running shoes,2024-12-01,72
Running,running shoes online,2015-01-01,52
Running,running shoes online,2015-02-01,53
Running,running shoes online,2015-03-01,64
Running,running shoes online,2015-04-01,53
Running,running shoes online,2015-05-01,52
Running,running shoes online,2015-06-01,54
Running,running shoes online,2015-07-01,63
Running,running shoes online,2015-08-01,54
Running,running shoes online,2015-09-01,55
Running,running shoes online,2015-10-01,38
Running,running shoes online,2015-11-01,54
Running,running shoes online,2015-12-01,52
Running,running shoes online,2016-01-01,51
Running,running shoes online,2016-02-01,63
Running,running shoes online,2016-03-01,76
Running,running shoes online,2016-04-01,66
Running,running shoes online,2016-05-01,58
Running,running shoes online,2016-06-01,58
Running,running shoes online,2016-07-01,59
Running,running shoes online,2016-08-01,68
Running,running shoes online,2016-09-01,63
Running,running shoes online,2016-10-01,66
Running,running shoes online,2016-11-01,80
Running,running shoes online,2016-12-01,67
Running,running shoes online,2017-01-01,90
Running,running shoes online,2017-02-01,100
Running,running shoes online,2017-03-01,82
Running,running shoes online,2017-04-01,83
Running,running shoes online,2017-05-01,68
Running,running shoes online,2017-06-01,61
Running,running shoes online,2017-07-01,86
Running,running shoes online,2017-08-01,80
Running,running shoes online,2017-09-01,77
Running,running shoes online,2017-10-01,87
Running,running shoes online,2017-11-01,73
Running,running shoes online,2017-12-01,65
Running,running shoes online,2018-01-01,53
Running,running shoes online,2018-02-01,69
Running,running shoes online,2018-03-01,54
Running,running shoes online,2018-04-01,54
Running,running shoes online,2018-05-01,63
