documentary_title,sport,release_date,imdb_rating,runtime_minutes,box_office_usd,streaming_platform
Free Solo,climbing,2018-09-28,8.1,100,29000000,Disney+
The Dawn Wall,climbing,2017-09-19,8.1,100,650000,Netflix
Meru,climbing,2015-08-14,7.7,90,4000000,Amazon Prime
Valley Uprising,climbing,2014-09-05,7.9,103,NA,Netflix
Touching the Void,climbing,2013-04-23,7.9,106,NA,Amazon Prime
Reel Rock 17,climbing,2023-04-19,8.4,172,NA,Reel Rock/Vimeo
The Alpinist,climbing,2021-09-10,7.9,93,NA,Netflix
The Summit,mountaineering,2012-10-12,6.8,95,NA,Amazon Prime
127 Hours,mountaineering,2010-11-12,7.5,94,60902038,Disney+
Riding Giants,surfing,2013-07-11,7.8,105,NA,Hulu
Momentum Generation,surfing,2018-12-11,7.8,103,NA,HBO
Soul Surfer,surfing,2011-04-08,7.0,112,47089336,Vudu/Prime
Drift,surfing,2013-07-02,6.3,113,NA,Prime
Riding Giants,surfing,2013-07-11,7.8,105,NA,Hulu
Deeper,snowboarding,2010-09-09,7.6,60,NA,Vimeo
The Art of Flight,snowboarding,2011-09-08,8.2,80,NA,Red Bull TV
McConkey,skiing,2013-09-06,8.1,90,NA,Netflix
Supervention,skiing-snowboarding,2013-11-01,7.2,99,NA,Prime
Further,skiing-snowboarding,2012-09-07,7.5,85,NA,Vimeo
First Descent,snowboarding,2011-01-01,7.0,110,NA,Prime
Fly,BASE jumping,2024-09-24,7.2,110,NA,NatGeo/Prime
Race to the Summit,mountaineering,2023-10-19,6.8,100,NA,Netflix
Life Cycles,mountain biking,2010-10-02,8.3,47,NA,Vimeo
Ride the Divide,mountain biking,2010-04-14,7.1,82,NA,Prime
Where the Trail Ends,mountain biking,2012-09-17,7.8,81,NA,Vimeo
Unbreakable: The Western States 100,trail running,2012-12-13,7.7,106,NA,Prime
Finding Traction,ultrarunning,2014-07-17,6.6,57,NA,Prime
The Barkley Marathons,ultrarunning,2014-10-26,7.8,89,NA,Prime/Netflix
Expedition Happiness,adventure travel,2017-05-18,6.4,95,NA,Netflix
Maiden,sailing,2018-06-29,7.6,97,1200000,Sony Pictures
The Weekend Sailor,sailing,2016-04-14,7.9,73,NA,Prime
Between Home,sailing,2012-08-16,7.1,93,NA,Vimeo
Racing Around the World Alone,sailing,2010-11-05,6.8,52,NA,Vimeo

notable mentions:
Here to Climb,climbing,2023-06-12,5.9,90,NA,festival circuit
Fine Lines,mountaineering,2018-10-20,7.0,101,NA,Vimeo
Storm Surfers,surfing,2012-09-20,6.5,95,NA,Prime
Let It Ride,snowboarding,2016-10-04,8.3,90,NA,Prime
Desert Runners,ultrarunning,2013-11-15,7.8,99,NA,Prime

