sport,article,date,pageviews
Alpine Skiing,Skiing,2015-07-01,13475
Alpine Skiing,Skiing,2015-08-01,12996
Alpine Skiing,Skiing,2015-09-01,15010
Alpine Skiing,Skiing,2015-10-01,19610
Alpine Skiing,Skiing,2015-11-01,21252
Alpine Skiing,Skiing,2015-12-01,23337
Alpine Skiing,Skiing,2016-01-01,33732
Alpine Skiing,Skiing,2016-02-01,31240
Alpine Skiing,Skiing,2016-03-01,24080
Alpine Skiing,Skiing,2016-04-01,21860
Alpine Skiing,Skiing,2016-05-01,20889
Alpine Skiing,Skiing,2016-06-01,15822
Alpine Skiing,Skiing,2016-07-01,13789
Alpine Skiing,Skiing,2016-08-01,15738
Alpine Skiing,Skiing,2016-09-01,17887
Alpine Skiing,Skiing,2016-10-01,20759
Alpine Skiing,Skiing,2016-11-01,25700
Alpine Skiing,Skiing,2016-12-01,30479
Alpine Skiing,Skiing,2017-01-01,38455
Alpine Skiing,Skiing,2017-02-01,32920
Alpine Skiing,Skiing,2017-03-01,30587
Alpine Skiing,Skiing,2017-04-01,21966
Alpine Skiing,Skiing,2017-05-01,20615
Alpine Skiing,Skiing,2017-06-01,17140
Alpine Skiing,Skiing,2017-07-01,16203
Alpine Skiing,Skiing,2017-08-01,16410
Alpine Skiing,Skiing,2017-09-01,18590
Alpine Skiing,Skiing,2017-10-01,21156
Alpine Skiing,Skiing,2017-11-01,23693
Alpine Skiing,Skiing,2017-12-01,31222
Alpine Skiing,Skiing,2018-01-01,37485
Alpine Skiing,Skiing,2018-02-01,50180
Alpine Skiing,Skiing,2018-03-01,27995
Alpine Skiing,Skiing,2018-04-01,18482
Alpine Skiing,Skiing,2018-05-01,17675
Alpine Skiing,Skiing,2018-06-01,14442
Alpine Skiing,Skiing,2018-07-01,14579
Alpine Skiing,Skiing,2018-08-01,15345
Alpine Skiing,Skiing,2018-09-01,16300
Alpine Skiing,Skiing,2018-10-01,19308
Alpine Skiing,Skiing,2018-11-01,22363
Alpine Skiing,Skiing,2018-12-01,26245
Alpine Skiing,Skiing,2019-01-01,32961
Alpine Skiing,Skiing,2019-02-01,27955
Alpine Skiing,Skiing,2019-03-01,25334
Alpine Skiing,Skiing,2019-04-01,18449
Alpine Skiing,Skiing,2019-05-01,15091
Alpine Skiing,Skiing,2019-06-01,13242
Alpine Skiing,Skiing,2019-07-01,14212
Alpine Skiing,Skiing,2019-08-01,13998
Alpine Skiing,Skiing,2019-09-01,17307
Alpine Skiing,Skiing,2019-10-01,20663
Alpine Skiing,Skiing,2019-11-01,26602
Alpine Skiing,Skiing,2019-12-01,56063
Alpine Skiing,Skiing,2020-01-01,75720
Alpine Skiing,Skiing,2020-02-01,118064
Alpine Skiing,Skiing,2020-03-01,123242
Alpine Skiing,Skiing,2020-04-01,76251
Alpine Skiing,Skiing,2020-05-01,46456
Alpine Skiing,Skiing,2020-06-01,28069
Alpine Skiing,Skiing,2020-07-01,21973
Alpine Skiing,Skiing,2020-08-01,21052
Alpine Skiing,Skiing,2020-09-01,29801
Alpine Skiing,Skiing,2020-10-01,29121
Alpine Skiing,Skiing,2020-11-01,37633
Alpine Skiing,Skiing,2020-12-01,44036
Alpine Skiing,Skiing,2021-01-01,56936
Alpine Skiing,Skiing,2021-02-01,50944
Alpine Skiing,Skiing,2021-03-01,24416
Alpine Skiing,Skiing,2021-04-01,56081
Alpine Skiing,Skiing,2021-05-01,18527
Alpine Skiing,Skiing,2021-06-01,15186
Alpine Skiing,Skiing,2021-07-01,16084
Alpine Skiing,Skiing,2021-08-01,17402
Alpine Skiing,Skiing,2021-09-01,18649
Alpine Skiing,Skiing,2021-10-01,18778
Alpine Skiing,Skiing,2021-11-01,21298
Alpine Skiing,Skiing,2021-12-01,25593
