sport,ranking,channel,id,index_de_similarite,status
Alpine Skiing,1,Stomp It Tutorials,UC1Ho5YvHCtyReazatbhBowA,100%,PENDING
Alpine Skiing,2,Ski School by Elate Media,UC2jvpwCE6Ybmizxid2qnRHg,99%,DONE
Alpine Skiing,3,SkiEssentials.com,UCgijSqjxEFzRJuQwNBRrTDg,95%,PENDING
Backcountry Skiing,1,Backcountry Skiing Canada,UCCCg2M-wz6pSp-_iwpX55jg,100%,PENDING
Backcountry Skiing,2,Nikolai Schirmer,UCs-hQ6x3r5tI_5cM-yG1gCg,98%,NO_VIDEOS
Backcountry Skiing,3,Cody Townsend,UCkHt706cPTznWOy3nsk9zmQ,95%,PENDING
BASE Jumping,1,Miles Daisher,UCoKHqxcOhmEuqZT-p8RSatg,95%,PENDING
BASE Jumping,2,Douggs,UCWV7yCbCiNa-LwM81OMYMGQ,90%,DONE
BASE Jumping,3,Sketchy Andy,UCC1UQ_XxXGdTWblveZruH0g,85%,PENDING
Camping,1,Steve Wallis,UCSnqXeK94-iNmwqGO__eJ5g,100%,PENDING
Camping,2,Joe Robinet,UCts-8ZqS339n-9nxy3DN8Cg,98%,DONE
Camping,3,Homemade Wanderlust,UCQhqmV26773qZhzqJz4VFcw,95%,PENDING
Hang Gliding,1,Wolfgang Siess,UCWVLjCb20gG_u_M-lX_wW_g,95%,PENDING
Hang Gliding,2,Moyes Microlights,UCF5ZVaGLoret3JAeL4oBfUQ,90%,DONE
Hang Gliding,3,Wills Wing,UCaGNGqX7viTZJVCGze8Ub6g,89%,PENDING
Hiking,1,Hiking Guy,UCeR8sH3N4MMnYKiSC1gcV5w,100%,PENDING
Hiking,2,The Trek,UCeLEFccX95XG45Xm7o5TBqA,99%,DONE
Hiking,3,Chase Mountains,UCTEopVgqNCUhJq57CxTc4aw,95%,PENDING
Ice Climbing,1,Will Gadd,UCQS01VZHR_bjbwJtkquwFWw,100%,PENDING
Ice Climbing,2,Alpine Savvy,UCISLReYKnjocu-zIHNKcSSg,90%,DONE
Ice Climbing,3,Petzl Sport,UCgfCbSVApOqM8D45gi_K1zw,70%,PENDING
Kayaking,1,Headwaters Kayak,UCYodbaugFoQAvGL2StgQ3tQ,100%,PENDING
Kayaking,2,PaddleTV,UCAZ9mAx3rrqOi4fd0uRkEGA,99%,DONE
Kayaking,3,Dane Jackson,UCL9oIFoVMW0h5hE_dSQ7pJA,95%,PENDING
Kitesurfing,1,Progression Kiteboarding,UCgT85WKdk50rE8ei3-gAEqA,100%,PENDING
Kitesurfing,2,North Kiteboarding,UCIy1clT6nZ6zZRuU-zEEbRw,95%,DONE
Kitesurfing,3,Duotone Kiteboarding,UCln8MEeAZCNDXBQPq_0THUw,94%,PENDING
Mountain Biking,1,GMBN,UC_A--fhX5gea0i4UtpD99Gg,100%,PENDING
Mountain Biking,2,Seth's Bike Hacks,UCu8YylsPiu9XfaQC74Hr_Gw,98%,DONE
Mountain Biking,3,Pinkbike,UC2GIHZpQiJy-8286f4lj_cg,97%,PENDING
Paragliding,1,Flybubble Paragliding,UCEXbbmFPL2pPWVsWwBXGflQ,100%,PENDING
Paragliding,2,Ozone Paragliders,UC1ClwROK3Zlib5X1UBNv05Q,95%,DONE
Paragliding,3,Advance Paragliders,UCknXzzDzpFQVgVQSTPDMZ1Q,94%,PENDING
