date,quarter,sport,total_comments,active_videos,engagement_intensity,avg_video_age_days,log_engagement_intensity
2015-01-01,2015-Q1,Alpine Skiing,3,6,0.69,105.5,0.5247285289349821
2015-04-01,2015-Q2,Alpine Skiing,2,2,0.46,146.0,0.3784364357202451
2015-07-01,2015-Q3,Alpine Skiing,0,0,0.0,0.0,0.0
2015-10-01,2015-Q4,Alpine Skiing,14,12,3.24,37.2,1.4445632692438664
2016-01-01,2016-Q1,Alpine Skiing,43,14,3.32,113.3,1.463255402256019
2016-04-01,2016-Q2,Alpine Skiing,5,2,0.58,114.5,0.4574248470388754
2016-07-01,2016-Q3,Alpine Skiing,0,0,0.0,0.0,0.0
2016-10-01,2016-Q4,Alpine Skiing,47,3,3.62,17.7,1.5303947050936475
2017-01-01,2017-Q1,Alpine Skiing,21,3,1.62,107.7,0.9631743177730056
2017-04-01,2017-Q2,Alpine Skiing,0,0,0.0,0.0,0.0
2017-07-01,2017-Q3,Alpine Skiing,12,1,2.78,35.0,1.3297240096314962
2017-10-01,2017-Q4,Alpine Skiing,23,1,5.32,127.0,1.843719208158766
2018-01-01,2018-Q1,Alpine Skiing,164,3,12.64,48.7,2.613006652415316
2018-04-01,2018-Q2,Alpine Skiing,4,3,0.31,139.7,0.27002713721306015
2018-07-01,2018-Q3,Alpine Skiing,0,0,0.0,0.0,0.0
2018-10-01,2018-Q4,Alpine Skiing,166,2,19.2,13.0,3.005682604407159
2019-01-01,2019-Q1,Alpine Skiing,356,4,20.59,82.2,3.072230244526716
2019-04-01,2019-Q2,Alpine Skiing,4,2,0.46,152.5,0.3784364357202451
2019-07-01,2019-Q3,Alpine Skiing,0,0,0.0,0.0,0.0
2019-10-01,2019-Q4,Alpine Skiing,28,1,6.48,2.0,2.012232791986386
2020-01-01,2020-Q1,Alpine Skiing,352,4,20.35,62.8,3.0610517396746335
2020-04-01,2020-Q2,Alpine Skiing,4,3,0.31,143.7,0.27002713721306015
2020-07-01,2020-Q3,Alpine Skiing,0,0,0.0,0.0,0.0
2020-10-01,2020-Q4,Alpine Skiing,216,2,24.98,53.0,3.2573270112424533
2021-01-01,2021-Q1,Alpine Skiing,325,6,12.53,86.8,2.604909442182697
2021-04-01,2021-Q2,Alpine Skiing,23,5,1.06,132.6,0.7227059828014898
2021-07-01,2021-Q3,Alpine Skiing,0,1,0.0,156.0,0.0
2021-10-01,2021-Q4,Alpine Skiing,110,4,6.36,12.5,1.9960599327407849
2022-01-01,2022-Q1,Alpine Skiing,336,12,6.48,65.9,2.012232791986386
2022-04-01,2022-Q2,Alpine Skiing,7,8,0.2,138.6,0.18232155679395465
2022-07-01,2022-Q3,Alpine Skiing,15,4,0.87,33.8,0.6259384308664953
2022-10-01,2022-Q4,Alpine Skiing,44,16,0.85,61.4,0.6151856390902335
2023-01-01,2023-Q1,Alpine Skiing,140,26,1.54,87.9,0.9321640810304452
2023-04-01,2023-Q2,Alpine Skiing,2,14,0.04,142.8,0.039220713153281295
2023-07-01,2023-Q3,Alpine Skiing,3,1,0.69,5.0,0.5247285289349821
2023-10-01,2023-Q4,Alpine Skiing,95,10,2.2,32.2,1.1631508098056809
2024-01-01,2024-Q1,Alpine Skiing,121,20,1.55,81.2,0.9360933591703348
2024-04-01,2024-Q2,Alpine Skiing,7,11,0.18,143.6,0.16551443847757338
2024-07-01,2024-Q3,Alpine Skiing,3,1,0.69,1.0,0.5247285289349821
2024-10-01,2024-Q4,Alpine Skiing,54,3,4.16,60.3,1.6409365794934714
2015-01-01,2015-Q1,BASE Jumping,0,13,0.0,114.7,0.0
2015-04-01,2015-Q2,BASE Jumping,0,4,0.0,119.2,0.0
2015-07-01,2015-Q3,BASE Jumping,0,2,0.0,135.0,0.0
2015-10-01,2015-Q4,BASE Jumping,0,6,0.0,75.5,0.0
2016-01-01,2016-Q1,BASE Jumping,0,10,0.0,105.2,0.0
2016-04-01,2016-Q2,BASE Jumping,0,7,0.0,128.6,0.0
2016-07-01,2016-Q3,BASE Jumping,0,4,0.0,99.8,0.0
2016-10-01,2016-Q4,BASE Jumping,0,11,0.0,72.5,0.0
2017-01-01,2017-Q1,BASE Jumping,4,18,0.02,96.1,0.019802627296179712
2017-04-01,2017-Q2,BASE Jumping,2,12,0.01,112.8,0.009950330853168083
2017-07-01,2017-Q3,BASE Jumping,0,5,0.0,93.4,0.0
2017-10-01,2017-Q4,BASE Jumping,0,2,0.0,121.5,0.0
2018-01-01,2018-Q1,BASE Jumping,2,1,0.02,67.0,0.019802627296179712
2018-04-01,2018-Q2,BASE Jumping,100,5,0.24,77.8,0.2151113796169455
2018-07-01,2018-Q3,BASE Jumping,0,7,0.0,115.1,0.0
2018-10-01,2018-Q4,BASE Jumping,8,6,0.05,111.2,0.04879016416943201
2019-01-01,2019-Q1,BASE Jumping,2,3,0.01,151.3,0.009950330853168083
2019-04-01,2019-Q2,BASE Jumping,0,0,0.0,0.0,0.0
2019-07-01,2019-Q3,BASE Jumping,0,1,0.0,84.0,0.0
2019-10-01,2019-Q4,BASE Jumping,6,4,0.02,75.0,0.019802627296179712
2020-01-01,2020-Q1,BASE Jumping,1,4,0.0,100.8,0.0
2020-04-01,2020-Q2,BASE Jumping,1,1,0.01,97.0,0.009950330853168083
2020-07-01,2020-Q3,BASE Jumping,0,0,0.0,0.0,0.0
2020-10-01,2020-Q4,BASE Jumping,0,0,0.0,0.0,0.0
2021-01-01,2021-Q1,BASE Jumping,0,0,0.0,0.0,0.0
2021-04-01,2021-Q2,BASE Jumping,0,0,0.0,0.0,0.0
2021-07-01,2021-Q3,BASE Jumping,0,0,0.0,0.0,0.0
