search_term,month,search_index
camping lessons,2015-01,39
camping lessons,2015-02,41
camping lessons,2015-03,52
camping lessons,2015-04,61
camping lessons,2015-05,71
camping lessons,2015-06,100
camping lessons,2015-07,91
camping lessons,2015-08,78
camping lessons,2015-09,43
camping lessons,2015-10,29
camping lessons,2015-11,23
camping lessons,2015-12,37
camping lessons,2016-01,35
camping lessons,2016-02,46
camping lessons,2016-03,49
camping lessons,2016-04,48
camping lessons,2016-05,62
camping lessons,2016-06,81
camping lessons,2016-07,64
camping lessons,2016-08,59
camping lessons,2016-09,46
camping lessons,2016-10,29
camping lessons,2016-11,21
camping lessons,2016-12,24
camping lessons,2017-01,34
camping lessons,2017-02,46
camping lessons,2017-03,48
camping lessons,2017-04,45
camping lessons,2017-05,60
camping lessons,2017-06,83
camping lessons,2017-07,82
camping lessons,2017-08,68
camping lessons,2017-09,33
camping lessons,2017-10,33
camping lessons,2017-11,26
camping lessons,2017-12,36
camping lessons,2018-01,42
camping lessons,2018-02,41
camping lessons,2018-03,49
camping lessons,2018-04,49
camping lessons,2018-05,73
camping lessons,2018-06,73
camping lessons,2018-07,83
camping lessons,2018-08,65
camping lessons,2018-09,46
camping lessons,2018-10,30
camping lessons,2018-11,28
camping lessons,2018-12,20
camping lessons,2019-01,39
camping lessons,2019-02,41
camping lessons,2019-03,29
camping lessons,2019-04,44
camping lessons,2019-05,54
camping lessons,2019-06,69
camping lessons,2019-07,73
camping lessons,2019-08,49
camping lessons,2019-09,38
camping lessons,2019-10,21
camping lessons,2019-11,30
camping lessons,2019-12,26
camping lessons,2020-01,32
camping lessons,2020-02,32
camping lessons,2020-03,23
camping lessons,2020-04,16
camping lessons,2020-05,37
camping lessons,2020-06,63
camping lessons,2020-07,72
camping lessons,2020-08,61
camping lessons,2020-09,34
camping lessons,2020-10,16
camping lessons,2020-11,24
camping lessons,2020-12,30
camping lessons,2021-01,26
camping lessons,2021-02,26
camping lessons,2021-03,42
camping lessons,2021-04,48
camping lessons,2021-05,62
camping lessons,2021-06,64
camping lessons,2021-07,70
camping lessons,2021-08,66
camping lessons,2021-09,33
camping lessons,2021-10,31
camping lessons,2021-11,30
