channel_name,sport,year,quarter,total_views_in_quarter,subscribers_end_quarter,videos_uploaded_in_quarter,avg_views_per_video
Adam Ondra,climbing,2017,Q2,242903,619000,1,242903.0
Adam Ondra,climbing,2017,Q3,0,619000,0,0
Adam Ondra,climbing,2017,Q4,355189,619000,8,44398.62
Adam Ondra,climbing,2018,Q1,9533315,619000,2,4766657.5
Adam Ondra,climbing,2018,Q2,0,619000,0,0
Adam Ondra,climbing,2018,Q3,0,619000,0,0
Adam Ondra,climbing,2018,Q4,2204003,619000,12,183666.92
Adam Ondra,climbing,2019,Q1,2163560,619000,15,144237.33
Adam Ondra,climbing,2019,Q2,7247860,619000,13,557527.69
Adam Ondra,climbing,2019,Q3,3644868,619000,14,260347.71
Adam Ondra,climbing,2019,Q4,4510742,619000,16,281921.38
Adam Ondra,climbing,2020,Q1,9461809,619000,17,556577.0
Adam Ondra,climbing,2020,Q2,6880535,619000,16,430033.44
Adam Ondra,climbing,2020,Q3,3994162,619000,17,234950.71
Adam Ondra,climbing,2020,Q4,2804691,619000,14,200335.07
Adam Ondra,climbing,2021,Q1,3497118,619000,12,291426.5
Adam Ondra,climbing,2021,Q2,1802258,619000,7,257465.43
Adam Ondra,climbing,2021,Q3,283819,619000,3,94606.33
Adam Ondra,climbing,2021,Q4,1420298,619000,8,177537.25
Adam Ondra,climbing,2022,Q1,2452086,619000,6,408681.0
Adam Ondra,climbing,2022,Q2,2479991,619000,8,309998.88
Adam Ondra,climbing,2022,Q3,1732518,619000,8,216564.75
Adam Ondra,climbing,2022,Q4,1672837,619000,8,209104.62
Adam Ondra,climbing,2023,Q1,2881332,619000,6,480222.0
Adam Ondra,climbing,2023,Q2,2147914,619000,11,195264.91
Adam Ondra,climbing,2023,Q3,1113852,619000,4,278463.0
Adam Ondra,climbing,2023,Q4,4249977,619000,8,531247.12
Adam Ondra,climbing,2024,Q1,1505731,619000,5,301146.2
Adam Ondra,climbing,2024,Q2,3185065,619000,6,530844.17
Adam Ondra,climbing,2024,Q3,1801881,619000,6,300313.5
Adam Ondra,climbing,2024,Q4,1519011,619000,6,253168.5
Appletree Surfboards,wingfoiling,2018,Q4,2212,2290,2,1106.0
Appletree Surfboards,wingfoiling,2019,Q1,895,2290,2,447.5
Appletree Surfboards,wingfoiling,2019,Q2,1477,2290,1,1477.0
Appletree Surfboards,wingfoiling,2019,Q3,9093,2290,3,3031.0
Appletree Surfboards,wingfoiling,2019,Q4,2954,2290,1,2954.0
Appletree Surfboards,wingfoiling,2020,Q1,17118,2290,9,1902.0
Appletree Surfboards,wingfoiling,2020,Q2,21650,2290,6,3608.33
Appletree Surfboards,wingfoiling,2020,Q3,156662,2290,5,31332.4
Appletree Surfboards,wingfoiling,2020,Q4,10071,2290,4,2517.75
